       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6867    -0.1934545     0.0003186  -177.4555063     0.0001867
    0.6320    -0.1917098    -0.0001377  -175.7321423    -0.0001750
    0.5769    -0.1900362    -0.0003577  -178.5994256    -0.0003169
    0.5227    -0.1885199     0.0002038  -189.3216867     0.0003274
    0.4700    -0.1871277     0.0004176  -198.8781792     0.0006801
    0.5227    -0.1884844     0.0005344  -303.2933556     0.0002038
    0.5769    -0.1900342     0.0001977  -169.7150575     0.0001953
    0.6320    -0.1916868     0.0005644  -168.5179679     0.0004992
    0.6867    -0.1934636     0.0002575  -160.5052684     0.0000939
