       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6867    -0.1934487     0.0002550  -172.9748436     0.0001433
    0.6320    -0.1916897    -0.0002511  -175.6968428    -0.0002822
    0.5769    -0.1900191    -0.0003201  -180.7610276    -0.0002590
    0.5227    -0.1884671    -0.0009404  -195.4796917    -0.0006632
    0.4700    -0.1871053     0.0005229  -221.1400982     0.0007735
    0.5227    -0.1885285     0.0006922  -214.8360859     0.0008239
    0.5769    -0.1898166    -0.0002493   -55.3750974     0.0001553
    0.6320    -0.1916922     0.0005716  -184.7656218     0.0004274
    0.6867    -0.1934427     0.0007165  -176.0767335     0.0006417
