       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6867    -0.1934613     0.0006736  -178.3782833     0.0004119
    0.6320    -0.1916585    -0.0001560  -213.2061292     0.0002545
    0.5769    -0.1900490     0.0003418  -171.7780713     0.0003339
    0.5227    -0.1885290     0.0005352  -186.2739377     0.0006016
    0.4700    -0.1869927    -0.0002186  -171.1016704     0.0003214
    0.5227    -0.1884763     0.0006844  -193.1449202     0.0008684
    0.5769    -0.1899907     0.0004641  -204.5235797     0.0006044
    0.6320    -0.1916720     0.0005786  -172.0343689     0.0005237
    0.6867    -0.1934436     0.0004084  -168.4335134     0.0003142
